bank,comments,sentiment,date,source
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Et enim quisquam non.,0,2023-03-21,Instagram
Banco BCR,La aplicación móvil es fácil de usar Eveniet iste consectetur laboriosam rerum voluptates.,1,2023-03-21,Facebook
Banco Nacional,La aplicación móvil es fácil de usar Unde odit iusto quibusdam minima voluptatum amet quibusdam.,1,2023-03-21,Facebook
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Aliquid itaque fugiat facere labore labore culpa.,0,2023-03-22,Facebook
Banco Nacional,El proceso de solicitud de préstamo fue rápido Facere inventore voluptate unde minima voluptas.,1,2023-03-22,Twitter
Banco Popular,Excelente servicio al cliente Blanditiis aperiam architecto doloremque aliquid.,1,2023-03-22,Facebook
Banco BCR,Tengo problemas para acceder a mi cuenta Voluptatem tenetur quidem consequatur veritatis.,0,2023-03-23,Facebook
Banco Nacional,La aplicación móvil es fácil de usar Laborum omnis reiciendis recusandae veritatis porro doloremque.,1,2023-03-23,Facebook
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Explicabo dicta rerum velit facere dolore debitis doloremque.,0,2023-03-23,Twitter
Banco BCR,Tengo problemas para acceder a mi cuenta Voluptatem similique delectus numquam assumenda nostrum.,0,2023-03-24,Instagram
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Sit aut suscipit magni cumque veritatis necessitatibus.,0,2023-03-24,Twitter
Banco Popular,Los cargos de la cuenta son demasiado altos Nulla omnis doloribus molestiae voluptatum voluptatum.,0,2023-03-24,Instagram
Banco Popular,Excelente servicio al cliente Totam qui nostrum consequuntur et eaque.,1,2023-03-25,Facebook
Banco BCR,El proceso de solicitud de préstamo fue rápido Maxime repudiandae ullam hic.,1,2023-03-25,Twitter
Banco Nacional,El proceso de solicitud de préstamo fue rápido Et tempore debitis hic reprehenderit sunt molestias nesciunt.,1,2023-03-25,Instagram
Banco BCR,La aplicación móvil es fácil de usar Laborum architecto quae illum minus repudiandae accusantium.,1,2023-03-26,Instagram
Banco Popular,El proceso de solicitud de préstamo fue rápido Distinctio et tenetur earum molestiae.,1,2023-03-26,Twitter
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Inventore vitae nam ullam facilis.,0,2023-03-26,Twitter
Banco BCR,Excelente servicio al cliente Labore atque cumque ratione neque.,1,2023-03-27,Facebook
Banco Popular,Excelente servicio al cliente Quaerat facilis earum modi.,1,2023-03-27,Twitter
Banco BCR,El proceso de solicitud de préstamo fue rápido Consequuntur itaque ratione assumenda a a placeat.,1,2023-03-27,Instagram
Banco BCR,Los cargos de la cuenta son demasiado altos Labore soluta odit.,0,2023-03-28,Facebook
Banco Popular,La aplicación móvil es fácil de usar Ipsa similique quaerat nobis ullam quis.,1,2023-03-28,Facebook
Banco BCR,Los cargos de la cuenta son demasiado altos Sequi dignissimos quam molestiae voluptatem dolorum.,0,2023-03-28,Instagram
Banco BCR,Los cargos de la cuenta son demasiado altos Omnis officia enim nemo harum aspernatur.,0,2023-03-29,Instagram
Banco Nacional,La aplicación móvil es fácil de usar Quos consequuntur maxime sequi libero cupiditate.,1,2023-03-29,Instagram
Banco Popular,Los cargos de la cuenta son demasiado altos Placeat ratione dolorem dicta.,0,2023-03-29,Facebook
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Debitis quasi magni aspernatur.,0,2023-03-30,Twitter
Banco Popular,Los cargos de la cuenta son demasiado altos Debitis ut omnis nobis modi aliquam.,0,2023-03-30,Twitter
Banco BCR,Tengo problemas para acceder a mi cuenta Consequatur ea maiores deleniti quo similique enim.,0,2023-03-30,Twitter
Banco Nacional,El proceso de solicitud de préstamo fue rápido Animi id consectetur debitis accusamus.,1,2023-03-31,Instagram
Banco Popular,El proceso de solicitud de préstamo fue rápido Mollitia sed et asperiores velit.,1,2023-03-31,Twitter
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Eum ut voluptatum quidem perspiciatis nobis.,0,2023-03-31,Twitter
Banco BCR,Los cargos de la cuenta son demasiado altos Maiores fugit error dolor.,0,2023-04-01,Facebook
Banco BCR,Los cargos de la cuenta son demasiado altos Illo nisi voluptatum laborum dolor consequuntur.,0,2023-04-01,Facebook
Banco Popular,Tengo problemas para acceder a mi cuenta Earum consequuntur quibusdam mollitia dolorum amet earum.,0,2023-04-01,Twitter
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Amet saepe architecto eos incidunt quisquam placeat.,0,2023-04-02,Instagram
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Perferendis veritatis est culpa reprehenderit rem.,0,2023-04-02,Facebook
Banco BCR,La aplicación móvil es fácil de usar Repudiandae accusamus accusamus eveniet.,1,2023-04-02,Instagram
Banco BCR,El proceso de solicitud de préstamo fue rápido Quaerat laboriosam optio deserunt aliquid repudiandae debitis.,1,2023-04-03,Instagram
Banco BCR,El proceso de solicitud de préstamo fue rápido Saepe neque rem rem at animi.,1,2023-04-03,Facebook
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Deserunt esse eius accusamus veritatis.,0,2023-04-03,Twitter
Banco BCR,El proceso de solicitud de préstamo fue rápido Hic aliquid magni nemo dolor animi.,1,2023-04-04,Twitter
Banco Nacional,Excelente servicio al cliente Quod cumque est corporis.,1,2023-04-04,Facebook
Banco Popular,Excelente servicio al cliente Adipisci vero iste culpa repudiandae.,1,2023-04-04,Twitter
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Dolorem quo voluptatum nam.,0,2023-04-05,Instagram
Banco BCR,El proceso de solicitud de préstamo fue rápido Tempora reprehenderit vitae quisquam.,1,2023-04-05,Instagram
Banco Popular,Tengo problemas para acceder a mi cuenta Quaerat exercitationem corrupti quisquam similique.,0,2023-04-05,Instagram
Banco Nacional,Excelente servicio al cliente Recusandae modi qui labore.,1,2023-04-06,Instagram
Banco Popular,El proceso de solicitud de préstamo fue rápido Vel itaque assumenda necessitatibus quod quis magnam.,1,2023-04-06,Instagram
Banco Popular,Tengo problemas para acceder a mi cuenta Corporis corrupti accusantium laboriosam eum minus.,0,2023-04-06,Facebook
Banco Nacional,Tengo problemas para acceder a mi cuenta Aperiam veniam perferendis.,0,2023-04-07,Twitter
Banco Nacional,El proceso de solicitud de préstamo fue rápido Vitae consequatur quas voluptas.,1,2023-04-07,Instagram
Banco Popular,El proceso de solicitud de préstamo fue rápido Recusandae nostrum culpa.,1,2023-04-07,Instagram
Banco Popular,Tengo problemas para acceder a mi cuenta Voluptatibus accusantium numquam dolorem.,0,2023-04-08,Instagram
Banco BCR,Excelente servicio al cliente Cumque qui totam atque aperiam porro.,1,2023-04-08,Instagram
Banco Nacional,El proceso de solicitud de préstamo fue rápido Quae explicabo commodi.,1,2023-04-08,Instagram
Banco Popular,El proceso de solicitud de préstamo fue rápido Harum aperiam ipsam.,1,2023-04-09,Facebook
Banco BCR,Los cargos de la cuenta son demasiado altos Quia saepe reiciendis.,0,2023-04-09,Facebook
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Corrupti consectetur maxime aliquid sed pariatur laborum quam.,0,2023-04-09,Twitter
Banco BCR,Los cargos de la cuenta son demasiado altos Qui fuga doloribus suscipit ratione.,0,2023-04-10,Twitter
Banco BCR,La aplicación móvil es fácil de usar Quod laborum autem dolor.,1,2023-04-10,Instagram
Banco Popular,Los cargos de la cuenta son demasiado altos Consectetur vero quaerat voluptatem voluptas.,0,2023-04-10,Twitter
Banco Nacional,Excelente servicio al cliente Temporibus laborum deserunt iste aliquam possimus laborum.,1,2023-04-11,Facebook
Banco Nacional,Excelente servicio al cliente Eligendi architecto ipsum at provident.,1,2023-04-11,Twitter
Banco Nacional,Los cargos de la cuenta son demasiado altos Temporibus tempora totam.,0,2023-04-11,Facebook
Banco Nacional,Tengo problemas para acceder a mi cuenta Totam nisi eaque.,0,2023-04-12,Twitter
Banco BCR,Los cargos de la cuenta son demasiado altos Iusto voluptas corporis recusandae repudiandae dolor.,0,2023-04-12,Twitter
Banco Nacional,Los cargos de la cuenta son demasiado altos Non voluptatum ut consequuntur aliquid natus sunt deleniti.,0,2023-04-12,Facebook
Banco Nacional,Excelente servicio al cliente Quis cum maxime quos.,1,2023-04-13,Facebook
Banco Nacional,Los cargos de la cuenta son demasiado altos Sequi recusandae voluptatum mollitia laboriosam.,0,2023-04-13,Instagram
Banco Nacional,Los cargos de la cuenta son demasiado altos Eligendi est nisi dolorum nostrum animi dolore.,0,2023-04-13,Twitter
Banco Popular,El proceso de solicitud de préstamo fue rápido Accusantium suscipit debitis doloribus odio nemo facere.,1,2023-04-14,Twitter
Banco Popular,El proceso de solicitud de préstamo fue rápido In ea velit accusantium.,1,2023-04-14,Facebook
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Nisi fugit sint ipsa blanditiis fugit.,0,2023-04-14,Facebook
Banco Nacional,Los cargos de la cuenta son demasiado altos Dolor vitae beatae sunt.,0,2023-04-15,Instagram
Banco BCR,La aplicación móvil es fácil de usar Blanditiis a necessitatibus quaerat rerum.,1,2023-04-15,Instagram
Banco BCR,La aplicación móvil es fácil de usar Illum ea illo.,1,2023-04-15,Twitter
Banco Popular,Excelente servicio al cliente Expedita magnam debitis architecto eum.,1,2023-04-16,Instagram
Banco Popular,El proceso de solicitud de préstamo fue rápido Non facilis cupiditate excepturi repudiandae.,1,2023-04-16,Twitter
Banco Popular,La aplicación móvil es fácil de usar Aperiam cum ad quibusdam similique maiores.,1,2023-04-16,Twitter
Banco Popular,Excelente servicio al cliente Eaque reiciendis atque odio magni officia.,1,2023-04-17,Twitter
Banco Nacional,Excelente servicio al cliente Debitis consequuntur nihil velit minus error ipsa nam.,1,2023-04-17,Instagram
Banco Nacional,Los cargos de la cuenta son demasiado altos Maxime blanditiis maiores cum harum.,0,2023-04-17,Instagram
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Adipisci provident tempora exercitationem.,0,2023-04-18,Instagram
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Veniam est consectetur dolor.,0,2023-04-18,Facebook
Banco Nacional,Tengo problemas para acceder a mi cuenta Accusantium ex soluta nam ad maxime architecto.,0,2023-04-18,Instagram
Banco Popular,El proceso de solicitud de préstamo fue rápido Odit vero velit.,1,2023-04-19,Facebook
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Vero laboriosam atque.,0,2023-04-19,Twitter
Banco BCR,Excelente servicio al cliente Saepe natus quasi debitis commodi est.,1,2023-04-19,Twitter
Banco BCR,Tengo problemas para acceder a mi cuenta Illo corrupti vel nesciunt alias tempore autem laudantium.,0,2023-04-20,Twitter
Banco BCR,Tengo problemas para acceder a mi cuenta Atque recusandae voluptas minus.,0,2023-04-20,Instagram
Banco Nacional,Excelente servicio al cliente Ratione suscipit quaerat praesentium molestiae ipsum mollitia.,1,2023-04-20,Instagram
Banco BCR,Excelente servicio al cliente Omnis molestias a.,1,2023-04-21,Facebook
Banco BCR,La aplicación móvil es fácil de usar Distinctio iste ipsum magni saepe quisquam.,1,2023-04-21,Facebook
Banco BCR,La aplicación móvil es fácil de usar Odio sint expedita consequatur velit.,1,2023-04-21,Instagram
Banco Popular,El proceso de solicitud de préstamo fue rápido Laudantium voluptatum sunt non temporibus eligendi.,1,2023-04-22,Twitter
Banco Nacional,Tengo problemas para acceder a mi cuenta Quo repellendus unde corrupti facilis non at.,0,2023-04-22,Facebook
Banco Nacional,Tengo problemas para acceder a mi cuenta Ab modi tempore ipsam.,0,2023-04-22,Facebook
Banco BCR,Tengo problemas para acceder a mi cuenta Corporis quasi deleniti exercitationem nemo nemo non.,0,2023-04-23,Facebook
Banco BCR,El proceso de solicitud de préstamo fue rápido Aliquid facilis voluptate possimus.,1,2023-04-23,Twitter
Banco Popular,La aplicación móvil es fácil de usar Provident numquam tempora enim.,1,2023-04-23,Twitter
Banco Popular,Tengo problemas para acceder a mi cuenta Perferendis id voluptatibus deserunt.,0,2023-04-24,Twitter
Banco BCR,La aplicación móvil es fácil de usar Quaerat sunt dolorem explicabo in.,1,2023-04-24,Instagram
Banco Popular,Tengo problemas para acceder a mi cuenta Dignissimos quis aspernatur.,0,2023-04-24,Twitter
Banco Nacional,Los cargos de la cuenta son demasiado altos Optio facilis reprehenderit tenetur.,0,2023-04-25,Twitter
Banco BCR,Excelente servicio al cliente Ad libero voluptatum maiores.,1,2023-04-25,Instagram
Banco Nacional,Excelente servicio al cliente Unde minima minus repellendus ea labore eligendi.,1,2023-04-25,Instagram
Banco Nacional,La aplicación móvil es fácil de usar Consequatur eius perferendis deserunt excepturi.,1,2023-04-26,Twitter
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Beatae repellendus sed sequi illum temporibus maiores deleniti.,0,2023-04-26,Twitter
Banco BCR,Los cargos de la cuenta son demasiado altos Tenetur veritatis molestias sequi.,0,2023-04-26,Twitter
Banco Nacional,Excelente servicio al cliente Laborum dolor sapiente ullam.,1,2023-04-27,Twitter
Banco BCR,La aplicación móvil es fácil de usar Ipsa fugiat tempore maiores illum deserunt dicta.,1,2023-04-27,Instagram
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Minima praesentium voluptatem veritatis vel.,0,2023-04-27,Facebook
Banco BCR,El proceso de solicitud de préstamo fue rápido Fugit blanditiis consectetur quia.,1,2023-04-28,Instagram
Banco Nacional,El proceso de solicitud de préstamo fue rápido Esse accusamus numquam dolores itaque laudantium laboriosam.,1,2023-04-28,Facebook
Banco BCR,La aplicación móvil es fácil de usar Mollitia fuga ab ullam assumenda earum.,1,2023-04-28,Instagram
Banco BCR,Los cargos de la cuenta son demasiado altos Delectus iusto soluta cumque magnam eum rem.,0,2023-04-29,Twitter
Banco Nacional,La aplicación móvil es fácil de usar Eum beatae ipsam voluptatum ratione repellendus.,1,2023-04-29,Instagram
Banco Nacional,Tengo problemas para acceder a mi cuenta Maxime eaque magni accusantium.,0,2023-04-29,Instagram
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Rem et sint adipisci.,0,2023-04-30,Twitter
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Ducimus tenetur facilis necessitatibus sit nobis minima.,0,2023-04-30,Facebook
Banco BCR,Excelente servicio al cliente Maiores eligendi ut facere accusantium aliquid repellat.,1,2023-04-30,Instagram
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Sequi placeat corporis deserunt delectus.,0,2023-05-01,Facebook
Banco Nacional,Tengo problemas para acceder a mi cuenta Inventore quisquam possimus rem deserunt occaecati cupiditate.,0,2023-05-01,Facebook
Banco Popular,El proceso de solicitud de préstamo fue rápido Iure error dolores at quisquam aliquid.,1,2023-05-01,Instagram
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Adipisci voluptatibus tenetur.,0,2023-05-02,Facebook
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Cumque nulla numquam ratione omnis asperiores ab.,0,2023-05-02,Instagram
Banco BCR,Los cargos de la cuenta son demasiado altos Mollitia quam sapiente ratione minus molestias.,0,2023-05-02,Facebook
Banco Popular,Tengo problemas para acceder a mi cuenta Quibusdam illum non natus soluta.,0,2023-05-03,Instagram
Banco Nacional,Tengo problemas para acceder a mi cuenta Sed corrupti corporis sint.,0,2023-05-03,Facebook
Banco BCR,El proceso de solicitud de préstamo fue rápido Ullam ea natus nesciunt.,1,2023-05-03,Facebook
Banco BCR,La aplicación móvil es fácil de usar Officiis maiores illo aliquid soluta.,1,2023-05-04,Twitter
Banco BCR,Excelente servicio al cliente Quas praesentium non architecto eius libero.,1,2023-05-04,Instagram
Banco BCR,El proceso de solicitud de préstamo fue rápido Explicabo eum ducimus reiciendis.,1,2023-05-04,Facebook
Banco Nacional,Tengo problemas para acceder a mi cuenta Culpa possimus deleniti nisi dolores quasi odit quaerat.,0,2023-05-05,Instagram
Banco BCR,El proceso de solicitud de préstamo fue rápido Aliquam itaque earum et maxime.,1,2023-05-05,Instagram
Banco Nacional,Los cargos de la cuenta son demasiado altos Mollitia nam facere.,0,2023-05-05,Twitter
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Officia delectus quo quas.,0,2023-05-06,Facebook
Banco BCR,Los cargos de la cuenta son demasiado altos Asperiores beatae corporis eum delectus veniam quas.,0,2023-05-06,Instagram
Banco Nacional,Los cargos de la cuenta son demasiado altos Pariatur error autem ea fuga debitis unde reiciendis.,0,2023-05-06,Twitter
Banco Nacional,La aplicación móvil es fácil de usar Non ut perferendis voluptas fuga blanditiis.,1,2023-05-07,Facebook
Banco BCR,Excelente servicio al cliente Inventore tenetur perspiciatis distinctio magni.,1,2023-05-07,Twitter
Banco Nacional,Tengo problemas para acceder a mi cuenta Ab inventore vitae cupiditate molestiae exercitationem non.,0,2023-05-07,Twitter
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Delectus quidem totam.,0,2023-05-08,Twitter
Banco Popular,La aplicación móvil es fácil de usar Officiis similique corporis ab nesciunt consectetur.,1,2023-05-08,Instagram
Banco BCR,La aplicación móvil es fácil de usar Possimus eos neque qui.,1,2023-05-08,Facebook
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Recusandae quas voluptates nam aspernatur modi rerum possimus.,0,2023-05-09,Instagram
Banco Popular,El proceso de solicitud de préstamo fue rápido Provident perferendis culpa dolorem.,1,2023-05-09,Twitter
Banco BCR,Los cargos de la cuenta son demasiado altos Praesentium enim et molestias laboriosam laudantium in.,0,2023-05-09,Instagram
Banco BCR,Los cargos de la cuenta son demasiado altos Quae quos esse magni dolorem repellat fugiat.,0,2023-05-10,Instagram
Banco Nacional,El proceso de solicitud de préstamo fue rápido Cupiditate explicabo nobis quam deleniti.,1,2023-05-10,Instagram
Banco BCR,Los cargos de la cuenta son demasiado altos Earum ex excepturi eaque facere est nobis.,0,2023-05-10,Facebook
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Ipsum odit beatae architecto.,0,2023-05-11,Twitter
Banco BCR,Los cargos de la cuenta son demasiado altos Vero aperiam nemo illum similique natus.,0,2023-05-11,Facebook
Banco BCR,La aplicación móvil es fácil de usar Est occaecati placeat iste assumenda quia omnis.,1,2023-05-11,Instagram
Banco BCR,Excelente servicio al cliente Non occaecati ipsam assumenda harum esse.,1,2023-05-12,Facebook
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Maiores hic perferendis nulla.,0,2023-05-12,Instagram
Banco Nacional,Los cargos de la cuenta son demasiado altos Magnam itaque unde.,0,2023-05-12,Facebook
Banco Popular,Excelente servicio al cliente Consequuntur explicabo earum aut placeat cupiditate aperiam.,1,2023-05-13,Instagram
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Nihil eius est ex.,0,2023-05-13,Twitter
Banco Nacional,Los cargos de la cuenta son demasiado altos Nobis dignissimos maiores alias.,0,2023-05-13,Twitter
Banco Nacional,La aplicación móvil es fácil de usar Laboriosam corporis corrupti adipisci alias doloribus quod.,1,2023-05-14,Facebook
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Dicta beatae praesentium expedita.,0,2023-05-14,Instagram
Banco BCR,Los cargos de la cuenta son demasiado altos Consectetur adipisci omnis voluptatibus cum esse optio.,0,2023-05-14,Twitter
Banco Nacional,El proceso de solicitud de préstamo fue rápido Corrupti inventore delectus facilis.,1,2023-05-15,Twitter
Banco BCR,Los cargos de la cuenta son demasiado altos Cum eos aperiam totam eveniet delectus error.,0,2023-05-15,Facebook
Banco Nacional,Tengo problemas para acceder a mi cuenta Sapiente asperiores mollitia veritatis accusamus.,0,2023-05-15,Twitter
Banco Popular,El proceso de solicitud de préstamo fue rápido Suscipit nam dolorum corrupti exercitationem.,1,2023-05-16,Twitter
Banco Nacional,La aplicación móvil es fácil de usar Reiciendis inventore sint assumenda.,1,2023-05-16,Twitter
Banco Nacional,La aplicación móvil es fácil de usar Saepe totam fuga culpa hic.,1,2023-05-16,Facebook
Banco BCR,El proceso de solicitud de préstamo fue rápido Magnam illum sit quaerat aspernatur ut ea.,1,2023-05-17,Instagram
Banco Nacional,El proceso de solicitud de préstamo fue rápido Voluptatem repellendus porro dolore.,1,2023-05-17,Twitter
Banco Nacional,El proceso de solicitud de préstamo fue rápido Quas commodi at ex quo.,1,2023-05-17,Instagram
Banco Nacional,La aplicación móvil es fácil de usar Nostrum alias quae id.,1,2023-05-18,Facebook
Banco Popular,El proceso de solicitud de préstamo fue rápido Ut maiores quis neque.,1,2023-05-18,Facebook
Banco Nacional,Los cargos de la cuenta son demasiado altos Earum nam corrupti voluptas nihil.,0,2023-05-18,Twitter
Banco BCR,Los cargos de la cuenta son demasiado altos Suscipit accusamus consequuntur aperiam id animi quaerat.,0,2023-05-19,Instagram
Banco Nacional,Los cargos de la cuenta son demasiado altos Aliquam occaecati dignissimos minus animi dolor.,0,2023-05-19,Facebook
Banco Nacional,La aplicación móvil es fácil de usar Earum velit iure impedit vero amet quaerat.,1,2023-05-19,Facebook
Banco Nacional,Los cargos de la cuenta son demasiado altos Explicabo aut esse dolore illum fugiat vero.,0,2023-05-20,Facebook
Banco Nacional,Tengo problemas para acceder a mi cuenta Distinctio voluptatum aliquam dolor.,0,2023-05-20,Facebook
Banco BCR,La aplicación móvil es fácil de usar Placeat reiciendis rem nihil omnis minima.,1,2023-05-20,Twitter
Banco BCR,La aplicación móvil es fácil de usar Consequatur esse ad debitis aperiam.,1,2023-05-21,Instagram
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Labore assumenda explicabo laboriosam.,0,2023-05-21,Facebook
Banco Popular,Tengo problemas para acceder a mi cuenta Magni pariatur tenetur dolorem dicta.,0,2023-05-21,Twitter
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Quia recusandae at reiciendis quo cumque maiores.,0,2023-05-22,Twitter
Banco Nacional,Tengo problemas para acceder a mi cuenta Laborum laboriosam neque commodi ipsa.,0,2023-05-22,Facebook
Banco BCR,El proceso de solicitud de préstamo fue rápido Blanditiis harum reprehenderit cupiditate deleniti quibusdam.,1,2023-05-22,Facebook
Banco Popular,La aplicación móvil es fácil de usar Maiores consequuntur sapiente natus nemo eaque.,1,2023-05-23,Twitter
Banco Nacional,El proceso de solicitud de préstamo fue rápido Harum incidunt ipsam ducimus facere.,1,2023-05-23,Twitter
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Quia occaecati possimus ex similique.,0,2023-05-23,Twitter
Banco Nacional,El proceso de solicitud de préstamo fue rápido Eligendi animi ipsam officiis totam reiciendis eum laboriosam.,1,2023-05-24,Twitter
Banco BCR,La aplicación móvil es fácil de usar Eaque nostrum corrupti praesentium.,1,2023-05-24,Facebook
Banco BCR,Tengo problemas para acceder a mi cuenta In qui suscipit laboriosam sit laudantium hic.,0,2023-05-24,Facebook
Banco Popular,La aplicación móvil es fácil de usar Deserunt ratione ducimus.,1,2023-05-25,Instagram
Banco BCR,La aplicación móvil es fácil de usar Corporis ullam voluptate officia magnam beatae perferendis animi.,1,2023-05-25,Twitter
Banco BCR,Tengo problemas para acceder a mi cuenta Architecto soluta temporibus dolor repudiandae quidem perferendis.,0,2023-05-25,Facebook
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Ducimus quibusdam mollitia quas optio.,0,2023-05-26,Twitter
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Dolores eius cum.,0,2023-05-26,Facebook
Banco Nacional,Los cargos de la cuenta son demasiado altos Laudantium fugit necessitatibus ut numquam necessitatibus.,0,2023-05-26,Instagram
Banco Nacional,Tengo problemas para acceder a mi cuenta Odit cum voluptates ullam aperiam neque asperiores.,0,2023-05-27,Twitter
Banco Popular,La aplicación móvil es fácil de usar Officia suscipit inventore rerum natus.,1,2023-05-27,Twitter
Banco BCR,El proceso de solicitud de préstamo fue rápido Soluta possimus repellat doloremque tempore veritatis.,1,2023-05-27,Facebook
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Impedit magni aperiam necessitatibus delectus veritatis.,0,2023-05-28,Twitter
Banco Nacional,Tengo problemas para acceder a mi cuenta Cupiditate eligendi minus magni vero occaecati accusamus odio.,0,2023-05-28,Facebook
Banco Nacional,Tengo problemas para acceder a mi cuenta Hic beatae neque voluptates repellat.,0,2023-05-28,Instagram
Banco Nacional,Excelente servicio al cliente Iusto ad sapiente.,1,2023-05-29,Facebook
Banco Nacional,Los cargos de la cuenta son demasiado altos Alias culpa magnam delectus.,0,2023-05-29,Facebook
Banco BCR,Los cargos de la cuenta son demasiado altos Tenetur delectus deserunt ratione eos in error.,0,2023-05-29,Twitter
Banco Popular,La aplicación móvil es fácil de usar Temporibus nulla beatae molestiae sit nisi.,1,2023-05-30,Instagram
Banco Popular,Tengo problemas para acceder a mi cuenta Fuga recusandae numquam ullam.,0,2023-05-30,Twitter
Banco Popular,Tengo problemas para acceder a mi cuenta Deleniti tempora exercitationem illo quaerat.,0,2023-05-30,Facebook
Banco Popular,Tengo problemas para acceder a mi cuenta Excepturi voluptatum odit.,0,2023-05-31,Twitter
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Nesciunt totam dolore non a doloribus.,0,2023-05-31,Instagram
Banco Nacional,Tengo problemas para acceder a mi cuenta Dolorum exercitationem aperiam iste.,0,2023-05-31,Instagram
Banco Nacional,Excelente servicio al cliente Fuga libero odio autem porro unde quis.,1,2023-06-01,Twitter
Banco BCR,La aplicación móvil es fácil de usar Culpa saepe distinctio maxime minima aut ducimus necessitatibus.,1,2023-06-01,Twitter
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Impedit minima saepe repudiandae.,0,2023-06-01,Instagram
Banco BCR,Los cargos de la cuenta son demasiado altos Assumenda suscipit amet perspiciatis quis illum dolores a.,0,2023-06-02,Instagram
Banco Popular,Excelente servicio al cliente Molestiae itaque tempora inventore cumque commodi.,1,2023-06-02,Facebook
Banco BCR,Tengo problemas para acceder a mi cuenta Enim dolores quos alias quidem quas placeat.,0,2023-06-02,Twitter
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Eius assumenda veritatis facilis et.,0,2023-06-03,Twitter
Banco BCR,Tengo problemas para acceder a mi cuenta Quisquam totam laborum nulla voluptas.,0,2023-06-03,Twitter
Banco BCR,El proceso de solicitud de préstamo fue rápido Quae fugit ut iure dicta.,1,2023-06-03,Instagram
Banco BCR,El proceso de solicitud de préstamo fue rápido Ut tempora delectus culpa voluptates architecto rerum.,1,2023-06-04,Instagram
Banco BCR,Los cargos de la cuenta son demasiado altos Eius eligendi a voluptate blanditiis.,0,2023-06-04,Instagram
Banco Nacional,El proceso de solicitud de préstamo fue rápido Omnis sunt necessitatibus recusandae dolorum voluptas.,1,2023-06-04,Instagram
Banco Popular,El proceso de solicitud de préstamo fue rápido Commodi consectetur labore inventore distinctio sapiente.,1,2023-06-05,Instagram
Banco Popular,Los cargos de la cuenta son demasiado altos Enim odio natus corporis.,0,2023-06-05,Instagram
Banco BCR,Los cargos de la cuenta son demasiado altos Sint non temporibus enim dolorem dolore minus illum.,0,2023-06-05,Twitter
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Ipsum ab iste perferendis ea accusantium expedita eligendi.,0,2023-06-06,Instagram
Banco Nacional,Tengo problemas para acceder a mi cuenta In corrupti ex nemo ea enim.,0,2023-06-06,Twitter
Banco BCR,Los cargos de la cuenta son demasiado altos Porro illum voluptas neque itaque cumque dolor.,0,2023-06-06,Instagram
Banco Nacional,Los cargos de la cuenta son demasiado altos Eos maiores nihil nostrum provident.,0,2023-06-07,Instagram
Banco BCR,El proceso de solicitud de préstamo fue rápido Eos similique explicabo voluptate.,1,2023-06-07,Instagram
Banco BCR,Tengo problemas para acceder a mi cuenta Facere repellendus animi velit.,0,2023-06-07,Facebook
Banco BCR,Tengo problemas para acceder a mi cuenta Possimus quasi temporibus.,0,2023-06-08,Instagram
